,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Time,Sector,Sub Sector,Size Group,MAJOR BRAND_Sauces2 [ MAJOR BRAND_Sauces2 ],Product,Geography,Value Sales,Unit Sales,Volume Sales,Average Weekly ACV Distribution
"1 w/e 05 Mar, 2022",BROWN SAUCE,STANDARD BROWN SAUCE,351 - 500 GR,HP,HP STANDARD BROWN SAUCE ORIGINAL 1 CT 450 GR 5000111046244,Waitrose GB,1546.97,768,345.6,58.92982192106745
"1 w/e 05 Mar, 2022",BROWN SAUCE,STANDARD BROWN SAUCE,351 - 500 GR,MAYOR,MAYOR STANDARD BROWN SAUCE REGULAR 1 CT 470 GR 5352001020767,Morrisons GB,2.28,10,4.699999999999999,0.6199627014938833
"1 w/e 05 Mar, 2022",BROWN SAUCE,STANDARD BROWN SAUCE,351 - 500 GR,CHEF,CHEF STANDARD BROWN SAUCE REGULAR 1 CT 485 GR 5391509390118,Asda GB,1.5,1,0.485,0.23407906460788294
"1 w/e 05 Mar, 2022",BROWN SAUCE,STANDARD BROWN SAUCE,501 - 700 GR,PRIVATE LABEL,PL STANDARD STANDARD BROWN SAUCE REGULAR 1 CT 505 GR 5000128722087,The Cooperative Group GB,426.33,286,144.43000000000004,8.612912114946985
"1 w/e 05 Mar, 2022",BROWN SAUCE,STANDARD BROWN SAUCE,501 - 700 GR,PRIVATE LABEL,PL STANDARD STANDARD BROWN SAUCE REGULAR 1 CT 690 GR 01774443,Sainsburys GB,855,570,393.2999999999997,43.75460131388302
"1 w/e 05 Mar, 2022",BROWN SAUCE,STANDARD BROWN SAUCE,501 - 700 GR,PRIVATE LABEL,PL VALUE STANDARD BROWN SAUCE REGULAR 1 CT 530 GR 5057753925093,Tesco GB,6788.52,10608,5622.239999999999,80.5930809044844
"1 w/e 05 Mar, 2022",BROWN SAUCE,STANDARD BROWN SAUCE,501 - 700 GR,DADDIES,DADDIES FAVOURITE STANDARD BROWN SAUCE REGULAR 1 CT 600 GR 5000111047432,Tesco GB,41.25,33,19.8,0.23920726725462016
"1 w/e 05 Mar, 2022",BROWN SAUCE,STANDARD BROWN SAUCE,501 - 700 GR,DADDIES,DADDIES FAVOURITE STANDARD BROWN SAUCE REGULAR 1 CT 685 GR 5000111047623,Asda GB,12014.04,8016,5490.960000000002,72.23090362284027
"1 w/e 05 Mar, 2022",BROWN SAUCE,STANDARD BROWN SAUCE,501 - 700 GR,DADDIES,DADDIES FAVOURITE STANDARD BROWN SAUCE REGULAR 1 CT 685 GR 5000111047623,Iceland GB,4784.62,3198,2190.63,57.989319976261704
"1 w/e 05 Mar, 2022",BROWN SAUCE,STANDARD BROWN SAUCE,501 - 700 GR,DADDIES,DADDIES FAVOURITE STANDARD BROWN SAUCE REGULAR 1 CT 685 GR 5000111047623,Sainsburys GB,5633.46,3145,2154.3250000000003,71.03745405024466
"1 w/e 05 Mar, 2022",BROWN SAUCE,STANDARD BROWN SAUCE,501 - 700 GR,HP,HP STANDARD BROWN SAUCE ORIGINAL 1 CT 600 GR 5000111047425,Asda GB,154.63,47,28.199999999999996,0.5663721157789996
"1 w/e 05 Mar, 2022",BROWN SAUCE,STANDARD BROWN SAUCE,501 - 700 GR,HP,HP STANDARD BROWN SAUCE ORIGINAL 1 CT 600 GR 5000111047425,Tesco GB,135,54,32.4,0.23920726725462016
"1 w/e 05 Mar, 2022",BROWN SAUCE,STANDARD BROWN SAUCE,501 - 700 GR,HP,HP STANDARD BROWN SAUCE ORIGINAL 1 CT 600 GR 5000111047517,Asda GB,71245.59,28505,17102.999999999996,99.72284386866475
"1 w/e 05 Mar, 2022",BROWN SAUCE,STANDARD BROWN SAUCE,501 - 700 GR,HP,HP STANDARD BROWN SAUCE ORIGINAL 1 CT 600 GR 5000111047517,Iceland GB,19454.5,7828,4696.799999999999,86.04604665972413
"1 w/e 05 Mar, 2022",BROWN SAUCE,STANDARD BROWN SAUCE,501 - 700 GR,HP,HP STANDARD BROWN SAUCE ORIGINAL 1 CT 600 GR 5000111047517,Morrisons GB,41052.15,16407,9844.2,99.88433473894953
"1 w/e 05 Mar, 2022",BROWN SAUCE,STANDARD BROWN SAUCE,501 - 700 GR,HP,HP STANDARD BROWN SAUCE ORIGINAL 1 CT 600 GR 5000111047517,Sainsburys GB,61852.11,24121,14472.600000000002,87.23214681470836
"1 w/e 05 Mar, 2022",BROWN SAUCE,STANDARD BROWN SAUCE,501 - 700 GR,HP,HP STANDARD BROWN SAUCE ORIGINAL 1 CT 600 GR 5000111047517,Tesco GB,129426.35,51447,30868.199999999986,83.17094670384637
"1 w/e 05 Mar, 2022",BROWN SAUCE,STANDARD BROWN SAUCE,501 - 700 GR,HP,HP STANDARD BROWN SAUCE ORIGINAL 1 CT 600 GR 5000111047517,The Cooperative Group GB,8778.87,3446,2067.6000000000004,60.5969860450311
"1 w/e 05 Mar, 2022",BROWN SAUCE,STANDARD BROWN SAUCE,501 - 700 GR,HP,HP STANDARD BROWN SAUCE ORIGINAL 1 CT 600 GR 5000111047517,Waitrose GB,9604.46,3315,1989,93.37811049923768
"1 w/e 05 Mar, 2022",BROWN SAUCE,STANDARD BROWN SAUCE,501 - 700 GR,HP,HP STANDARD BROWN SAUCE REGULAR 1 CT 600 GR 5000111047760,Iceland GB,24,11,6.599999999999999,1.3382477901375611
"1 w/e 05 Mar, 2022",BROWN SAUCE,STANDARD BROWN SAUCE,501 - 700 GR,HAMMONDS,HAMMONDS STANDARD BROWN SAUCE REGULAR 1 CT 698 GR 5000225026156,Asda GB,1640.31,1025,715.4499999999998,7.558052782372521
"1 w/e 05 Mar, 2022",BROWN SAUCE,STANDARD BROWN SAUCE,501 - 700 GR,HAMMONDS,HAMMONDS STANDARD BROWN SAUCE REGULAR 1 CT 698 GR 5000225026156,Morrisons GB,3148.95,1967,1372.966,29.060564240581453
