Market,Channel,Region,Category,SubCategory,Brand,Variant,PackType,PPG,PackSize,Year,Month,Week,Date,BrCatId,SalesValue,Volume,VolumeUnits,D1,D2,D3,D4,D5,D6,AV1,AV2,AV3,AV4,AV5,AV6,EV1,EV2,EV3,EV4,EV5,EV6,PrepDate,ProjCode
UK,Convenience,AllRegion,BROWN SAUCE,AllSubCategory,HP,FLAVOURED BROWN SAUCE,AllPackType,Medium,351 - 500 GR,2022,July,28,2022-07-09 00:00:00,Brand,2087,352.5,750,24.14297190400171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25-04-2025,Ukbrownsaucekhc
UK,Convenience,AllRegion,BROWN SAUCE,AllSubCategory,HP,FLAVOURED BROWN SAUCE,AllPackType,Medium,351 - 500 GR,2022,July,29,2022-07-16 00:00:00,Brand,1834.3,308.79,657,22.21637219035675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25-04-2025,Ukbrownsaucekhc
UK,Convenience,AllRegion,BROWN SAUCE,AllSubCategory,HP,FLAVOURED BROWN SAUCE,AllPackType,Medium,351 - 500 GR,2022,July,30,2022-07-23 00:00:00,Brand,1842.45,308.7899999999998,657,22.42179112330486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25-04-2025,Ukbrownsaucekhc
UK,Convenience,AllRegion,BROWN SAUCE,AllSubCategory,HP,FLAVOURED BROWN SAUCE,AllPackType,Medium,351 - 500 GR,2022,July,31,2022-07-30 00:00:00,Brand,1881.65,315.3699999999999,671,23.37765241049745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25-04-2025,Ukbrownsaucekhc
UK,Convenience,AllRegion,BROWN SAUCE,AllSubCategory,HP,FLAVOURED BROWN SAUCE,AllPackType,Medium,351 - 500 GR,2022,June,23,2022-06-04 00:00:00,Brand,1882.18,384.93,819,26.02142070777749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25-04-2025,Ukbrownsaucekhc
UK,Convenience,AllRegion,BROWN SAUCE,AllSubCategory,HP,FLAVOURED BROWN SAUCE,AllPackType,Medium,351 - 500 GR,2022,June,24,2022-06-11 00:00:00,Brand,2038.95,371.7700000000001,791,25.19171498633305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25-04-2025,Ukbrownsaucekhc
UK,Convenience,AllRegion,BROWN SAUCE,AllSubCategory,HP,FLAVOURED BROWN SAUCE,AllPackType,Medium,351 - 500 GR,2022,June,25,2022-06-18 00:00:00,Brand,1831.2,307.3799999999999,654,23.62936729267616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25-04-2025,Ukbrownsaucekhc
UK,Convenience,AllRegion,BROWN SAUCE,AllSubCategory,HP,FLAVOURED BROWN SAUCE,AllPackType,Medium,351 - 500 GR,2022,June,26,2022-06-25 00:00:00,Brand,1856.55,311.6100000000002,663,23.31596103991107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25-04-2025,Ukbrownsaucekhc
UK,Convenience,AllRegion,BROWN SAUCE,AllSubCategory,HP,FLAVOURED BROWN SAUCE,AllPackType,Medium,351 - 500 GR,2022,March,10,2022-03-05 00:00:00,Brand,2244.95,462.9499999999999,985,28.22904418830723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25-04-2025,Ukbrownsaucekhc
UK,Convenience,AllRegion,BROWN SAUCE,AllSubCategory,HP,FLAVOURED BROWN SAUCE,AllPackType,Medium,351 - 500 GR,2022,March,11,2022-03-12 00:00:00,Brand,2388,487.8599999999999,1038,26.76587001707072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25-04-2025,Ukbrownsaucekhc
